,Unnamed: 0,es_oficialismo,0_presencia,0_apoyo,1_presencia,1_apoyo,2_presencia,2_apoyo,3_presencia,3_apoyo,nroperiodo,tipo_mayoria,resultado,periodo_Extraordinario,periodo_Ordinario,periodo_Prórroga,sesion_Especial,sesion_Preparatoria,sesion_Tablas
224,224,0,0.9692307692307692,1.0,0.9818181818181818,-1.0,1.0,-1.0,0.9473684210526316,0.2222222222222222,135,0,0,1,0,0,1,0,0
368,368,0,0.8,-1.0,0.9047619047619048,1.0,0.8888888888888888,1.0,0.9130434782608696,1.0,134,0,1,0,1,0,1,0,0
246,246,0,0.7538461538461538,-0.8571428571428571,0.9636363636363636,1.0,0.975,1.0,0.8421052631578947,0.9375,135,0,1,1,0,0,1,0,0
850,850,1,0.6046511627906976,1.0,0.6744186046511628,1.0,0.42857142857142855,1.0,0.6842105263157895,1.0,129,0,1,0,1,0,0,0,1
359,359,0,0.7142857142857143,-1.0,0.8333333333333334,1.0,0.9444444444444444,0.9705882352941176,0.8260869565217391,1.0,134,0,1,0,1,0,1,0,0
140,140,0,0.9,-1.0,0.9268292682926829,1.0,0.8888888888888888,1.0,0.5652173913043478,1.0,135,0,1,0,1,0,1,0,0
308,308,0,0.9493670886075948,-0.84,0.9761904761904762,1.0,0.9444444444444444,1.0,0.9130434782608696,1.0,134,0,1,0,1,0,1,0,0
520,520,1,0.7394957983193278,0.9090909090909092,0.7027027027027027,1.0,0.6111111111111112,1.0,0.4117647058823529,0.14285714285714285,132,0,1,0,1,0,0,0,1
113,113,0,0.8,1.0,0.902439024390244,1.0,0.8888888888888888,1.0,0.8333333333333334,1.0,135,0,1,0,1,0,1,0,0
719,719,1,0.9545454545454546,1.0,0.6578947368421053,-0.04,0.8181818181818182,-1.0,0.9,0.0,131,0,1,0,1,0,1,0,0
360,360,0,0.5428571428571428,-0.9736842105263158,0.8571428571428571,1.0,0.8888888888888888,1.0,0.7826086956521741,1.0,134,0,1,0,1,0,1,0,0
914,914,0,0.5538461538461539,1.0,0.8363636363636363,1.0,0.725,1.0,0.2777777777777778,1.0,137,0,1,0,1,0,0,0,1
427,427,0,0.8985507246376812,1.0,0.9047619047619048,1.0,0.8611111111111112,1.0,0.7391304347826086,1.0,134,0,1,0,1,0,1,0,0
275,275,0,0.8354430379746836,1.0,0.9761904761904762,1.0,0.8888888888888888,1.0,0.6956521739130435,1.0,134,0,1,0,1,0,1,0,0
876,876,1,0.7590361445783133,1.0,0.8292682926829268,1.0,0.7916666666666666,1.0,0.8181818181818182,1.0,129,0,1,0,1,0,1,0,0
991,991,0,0.9833333333333332,1.0,0.8235294117647058,-1.0,0.8297872340425532,-1.0,0.9333333333333332,-1.0,137,0,1,1,0,0,1,0,0
217,217,0,0.6142857142857143,1.0,0.8292682926829268,1.0,0.75,1.0,0.7391304347826086,1.0,135,0,1,0,1,0,1,0,0
913,913,0,0.4,1.0,0.8181818181818182,1.0,0.725,1.0,0.2777777777777778,1.0,137,0,1,0,1,0,0,0,1
261,261,0,0.02531645569620253,-0.5,0.9761904761904762,1.0,0.9722222222222222,1.0,0.8695652173913043,1.0,134,0,1,0,1,0,1,0,0
426,426,0,0.5217391304347826,-0.9722222222222222,0.9047619047619048,1.0,0.9166666666666666,1.0,0.7826086956521741,1.0,134,0,1,0,1,0,1,0,0
510,510,1,0.9579831932773109,1.0,0.8648648648648649,1.0,0.8333333333333334,0.8666666666666667,0.8823529411764706,1.0,132,0,1,0,1,0,1,0,0
922,922,0,0.5538461538461539,1.0,0.7818181818181819,1.0,0.65,1.0,0.2777777777777778,1.0,137,0,1,0,1,0,0,0,1
540,540,1,0.9736842105263158,1.0,0.9189189189189191,-1.0,0.8888888888888888,-1.0,0.8823529411764706,-1.0,132,0,1,0,1,0,1,0,0
916,916,0,0.5538461538461539,0.9722222222222222,0.8363636363636363,1.0,0.725,1.0,0.2777777777777778,1.0,137,0,1,0,1,0,0,0,1
925,925,0,0.7692307692307693,-1.0,0.9636363636363636,1.0,0.9230769230769232,1.0,0.6666666666666666,0.5,137,0,1,0,1,0,1,0,0
633,633,1,0.9736842105263158,1.0,0.8285714285714286,-1.0,0.5555555555555556,-1.0,0.0,,132,0,1,1,0,0,1,0,0
436,436,0,0.6231884057971014,1.0,0.8809523809523809,1.0,0.7222222222222222,1.0,0.6956521739130435,1.0,134,0,1,0,1,0,1,0,0
77,77,0,0.0,,0.9636363636363636,1.0,0.975,1.0,0.8333333333333334,0.5333333333333333,136,0,1,0,1,0,1,0,0
879,879,1,0.6626506024096386,0.9090909090909092,0.7804878048780488,0.84375,0.7916666666666666,1.0,0.7272727272727273,0.5,129,0,1,0,1,0,1,0,0
786,786,1,0.9565217391304348,1.0,0.7105263157894737,1.0,0.42857142857142855,1.0,0.8181818181818182,1.0,130,1,1,0,1,0,1,0,0
116,116,0,0.7571428571428571,1.0,0.8292682926829268,1.0,0.8333333333333334,1.0,0.7916666666666666,1.0,135,0,1,0,1,0,1,0,0
183,183,0,0.6285714285714286,1.0,0.7073170731707317,1.0,0.7777777777777778,1.0,0.7391304347826086,1.0,135,0,1,0,1,0,1,0,0
334,334,0,0.8428571428571429,-0.8644067796610171,0.9523809523809524,1.0,0.8055555555555556,1.0,0.8260869565217391,1.0,134,0,1,0,1,0,0,0,1
781,781,1,0.9304347826086956,0.9813084112149532,0.0,,0.0,,0.0,,130,0,1,0,1,0,0,0,1
951,951,0,0.6307692307692307,-0.3170731707317073,0.7272727272727273,-0.675,0.6666666666666666,-0.7692307692307693,0.2352941176470588,-1.0,137,2,0,0,1,0,1,0,0
957,957,0,0.8153846153846154,1.0,0.5818181818181818,0.96875,0.7948717948717948,1.0,0.4117647058823529,1.0,137,0,1,0,1,0,1,0,0
463,463,1,0.9473684210526316,1.0,0.7142857142857143,-1.0,0.8888888888888888,-1.0,0.5714285714285714,-1.0,133,0,1,0,1,0,1,0,0
382,382,0,0.8428571428571429,-1.0,0.9285714285714286,1.0,0.9722222222222222,1.0,0.8695652173913043,1.0,134,0,1,0,1,0,1,0,0
866,866,1,0.6627906976744186,0.9649122807017544,0.5348837209302325,1.0,0.5714285714285714,1.0,0.2631578947368421,1.0,129,0,1,0,1,0,1,0,0
57,57,0,0.8153846153846154,1.0,0.8181818181818182,-1.0,0.9,-1.0,0.8333333333333334,0.4666666666666667,136,2,0,0,1,0,1,0,0
